Circuit/Gate,Label, A1_AmtR, B1_BM3R1, B2_BM3R1, B3_BM3R1, E1_BetI, F1_AmeR, H1_HlyIIR, I1_IcaRA, L1_LitR, N1_LmrA, P1_PhlF, P2_PhlF, P3_PhlF, Q1_QacR, Q2_QacR, R1_PsrA, S1_SrpR, S2_SrpR, S3_SrpR, S4_SrpR
bg0x01,Pass,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
bg0x04,Pass,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
bg0x06,Fail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0x07,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0x08,Pass,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
bg0x0B,Pass,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
bg0x0E,Pass,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
bg0x19,Fail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0x1C,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0x36,Fail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0x37,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0x38,Fail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0x3B,Pass,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
bg0x3D,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0x41,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0x4D,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0x60,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0x6E,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0x6F,Fail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0x70,Pass,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bg0x78,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0x7F,Pass,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
bg0x80,Pass,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
bg0x81,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0x82,Fail,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
bg0x87,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0x8E,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0x98,Fail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0x9F,Fail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0xAE,Pass,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
bg0xB9,Fail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0xBD,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0xC1,Fail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0xC4,Pass,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bg0xC6,Fail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0xC7,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0xC8,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0xC9,Fail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0xCD,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0xE8,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0xEA,Pass,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
bg0xF6,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0xF7,Pass,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
bg0xF9,Fail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg0xFB,Pass,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
bgAIMPLYB,Pass,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
bgAND,Pass,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
bgANIMPLYB,Pass,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
bgBIMPLYA,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bgBNIMPLYA,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bgconsensus,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bgconsensus_alt,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bgdemultiplexer,Fail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bgmajority,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bgmajority_alt,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bgmultiplexer,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bgmultiplexer_alt,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bgNAND,Pass,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
bgpriority_detector,Pass,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
bgXNOR,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bgXOR,Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0